"target","tic_id","sector","sectors","tmag","teff_k","stellar_radius_solar","distance_pc","ra_deg","dec_deg","camera","ccd","known_planet_host_rows"
"TIC 88478727","88478727","105","105","8.46043","3827.0","0.627937","19.5489","46.9823011190646","-28.2197121573219","4","4","0"
"TIC 206327795","206327795","105","105","8.6192","4001.0","0.746358","25.0245","354.076140227641","-48.58807338999","2","2","0"
"TIC 158624542","158624542","105","105","8.7045","3850.0","0.63117","22.1501","24.3367513721978","-49.1956601713495","3","3","0"
"TIC 231055581","231055581","105","105","9.26953","3284.0","0.287941","8.21242","30.1595357067217","-55.9679508023847","3","3","0"
"TIC 41858828","41858828","105","105","9.2959","4468.0","0.781389","47.3719","20.292130691915","-37.4916394926262","3","4","0"
"TIC 62020444","62020444","105","105","9.38922","3158.0","0.21187","5.91294","290.199931223396","-45.5582303560948","1","4","0"
"TIC 290970527","290970527","105","105","9.43155","3488.0","0.43895","16.8755","309.034620813236","-36.1198649330232","1","3","0"
"TIC 140460192","140460192","105","105","9.47977","3962.0","0.703944","38.5171","20.5184775122757","-33.617662387958","3","4","0"
"TIC 122574885","122574885","105","105","9.50892","3458.0","0.296416","10.8666","39.9612973695943","-34.1326561451321","4","1","0"
"TIC 33593656","33593656","105","105","9.5239","4436.0","0.739841","48.9879","28.5735691841544","-29.3897907448952","4","1","0"
"TIC 322736681","322736681","105","105","9.53061","3340.0","0.374074","13.4078","34.1716579045582","-30.9883965963578","4","1","0"
"TIC 122506840","122506840","105","105","9.58783","3911.0","0.591584","31.4147","38.5153470338785","-30.5610378493543","4","1","0"
"TIC 231017428","231017428","105","105","9.60304","3530.0","0.48837","20.9219","27.109077898505","-56.978182833424","3","2","0"
"TIC 71373798","71373798","105","105","9.61711","3505.0","0.453928","19.0596","45.6585582208322","-18.1663250060321","4","4","0"
"TIC 42055967","42055967","105","105","9.6716","4176.1","0.623762","38.9196","24.5133440628272","-40.2931241483832","3","4","0"
"TIC 115282129","115282129","105","105","9.69268","3837.0","0.636677","35.0779","26.3388614832126","-39.9556738198273","3","4","0"
"TIC 201287746","201287746","105","105","9.72669","3381.0","0.327445","12.7969","2.07242704783504","-57.098029275291","2","1","0"
