target,tic_id,sector,sectors,tmag,teff_k,stellar_radius_solar,distance_pc,ra_deg,dec_deg,camera,ccd,known_planet_host_rows
TIC 165218140,165218140,105,105,10.0449,4323.0,0.658691,52.0882,56.9011967844127,-36.4132510798771,4,3,0
TIC 404156386,404156386,105,105,10.0553,3778.0,0.702878,48.7515,294.286611990613,-51.5669128422805,1,4,0
TIC 49594667,49594667,105,105,10.0587,4301.0,0.65073,51.1172,37.2514232286715,-41.1258130887252,4,2,0
TIC 176833501,176833501,105,105,10.0885,4119.0,0.680267,48.3204,49.0296775978326,-32.7202358547107,4,3,0
TIC 406280308,406280308,105,105,10.1271,4043.0,0.644881,44.3971,326.334323561182,-61.9373277474198,2,4,0
TIC 370082510,370082510,105,105,10.1945,4283.0,0.686595,56.823,297.284692171131,-53.1844565648308,1,4,0
TIC 71274771,71274771,105,105,10.2036,3695.0,0.656365,44.2922,330.567735312701,-42.1759157481952,2,3,0
TIC 278783525,278783525,105,105,10.2052,4222.0,0.655635,52.5274,335.816846021852,-39.7571218911585,2,3,0
TIC 423762923,423762923,105,105,10.2238,4428.0,0.773601,69.0398,51.6404951650379,-29.3376929790366,4,3,0
TIC 120459870,120459870,105,105,10.2255,3281.0,0.278637,12.3067,1.15182270904339,-40.734135468041,3,1,0
TIC 117874959,117874959,105,105,10.2428,3560.0,0.641336,40.1943,9.89916431997378,-38.2829317426673,3,1,0
TIC 439446186,439446186,105,105,10.246,3795.0,0.786849,49.2745,301.48505968846,-32.2831090779046,1,3,0
TIC 156015757,156015757,105,105,10.2592,4412.0,0.72862,66.8374,8.90077913368774,-52.5069646401603,3,2,0
TIC 425933136,425933136,105,105,10.2647,3880.0,0.652773,47.9048,3.68403285169722,-62.0990192767513,2,1,0
TIC 360147541,360147541,105,105,10.2696,3423.0,0.568002,32.4678,353.40300321764,-42.2227269574805,2,2,0
TIC 142178690,142178690,105,105,10.2736,3925.0,0.676691,52.7599,37.6926782059103,-43.7304249354154,4,2,0
TIC 278783528,278783528,105,105,10.2995,3827.0,0.676453,52.6334,335.830232103205,-39.7367539200116,2,3,0
TIC 394481268,394481268,105,105,10.305,3335.0,0.26461,12.4855,315.808108899826,-56.96342931029,1,1,0
TIC 89255038,89255038,105,105,10.3084,3906.0,0.586925,43.4264,58.4805154419077,-29.2812845295124,4,3,0
TIC 62124646,62124646,105,105,10.3502,4250.0,0.779912,70.9301,290.909211088272,-46.1087902425127,1,4,0
